id_maladie,id_ville,date,cas_asthme,cas_bronchite,cas_cancer_poumon,taux_hospitalisation,mortalite_respiratoire
577,9,2016-09,700,528,205,0.034,1.82
923,9,2024-10,,399,162,,0.70
856,8,2024-02,249,,76,0.035, 0.61 
736,5,2017-02,821,564,240,0.044,1.96
306,8,2023-08,395,286,133,0.034,2.11
878,6,2018-09,823,588,235,"0,033",2.18e+00
601,9,2019-12,828,,239,0.044,0.81
669,10,2021-08,830,625,248,4.0%,1.89
525,2,2020-05,565,457,187,"0,087","1,9"
498,3,2023-08,,662,282,0.063,2.83e+00
442,4,2023-01,353,230,121,7.6%,1.48
200,6,2022-12,541,311,155,,1.00
621,9,2022-03,706,461,191,0.037,1.84
413,10,2022-10,1099,798,339,6.6%, 2.70 
568,3,2020-05,966,752,306,"0,050", 1.81 
957,5,2019-05,1029,770,-999,0.018,1.96e+00
981,8,2024-10,309,220,77,0.3%,1.15
261,1,2016-05,350,296,114,0.094,1.78
394,4,2019-04,595,,216,4.8%,2.71
204,8,2019-03,261,194,107,0.000,1.08e+00
823,4,2017-02,-999,377,160,0.069,"2,3"
314,5,2024-05,1039,746,310,"0,018",1.79e+00
1020,1,2017-03,363,252,115,0.066,1.29
140,2,2020-06,471,375,,0.039,1.54
915,7,2016-11,823,543,247,,1.79
205,2,2024-05,517,352,153,0.050,"1,6"
636,6,2023-03,,614,231,,1.99
904,4,2023-03,405,306,136,0.057,1.49
979,1,2021-01,484,335,160,5.4%,1.81
860,10,2023-01,850,593,260,"0,059",2.07
729,4,2022-08,589,-999,,?,1.97
608,6,2022-08,-999,-999,298,0.051,2.01
852,9,2016-12,425,429,153,,"0,3"
822,4,2020-12,,403,162,0.060,1.90
696,7,2024-10,1049,781,311,0.058,2.02
47,9,2021-10,554,427,177,NaN,0.02
8,8,2017-10,299,282,101,0.000,1.52
567,5,2024-11,943,640,287,3.6%,1.46
272,1,2020-08,365,310,121,0.040,1.64
