id_ville,ville,date,pm25,dioxyde_soufre,monoxyde_carbone,indice_pollution,population,temperature_moyenne
1,Paris,2024-08,44.49942307692307,1.09,0.5,100.0,1447095.7745098039,13.55
1,Paris,2017-02,44.49942307692307,2.0,6.45,80.88,2221894.0,11.68
1,Paris,2021-09,28.08,12.1,0.88,9.14,2071294.0,13.5
1,Paris,2019-10,39.97,9999.0,0.99,100.0,2.0,12.66
1,Paris,2023-01,2.11,8.05,0.55,66.14,2.0,11.37
1,Paris,2021-08,27.05,10.19,0.59,91.89,2.0,12.1
1,Paris,2022-01,24.58,12.87,1.08,9.19,2229430.0,10.82
1,Paris,2020-03,19.54,7.76,0.89,72.41,1447095.7745098039,1.23
1,Paris,2019-08,44.49942307692307,13.1,0.47,100.0,1985936.0,11.18
1,Paris,2023-12,27.17,16.71,0.78,99.69,2189470.0,9.99
1,Paris,2023-02,2.94,9.8,0.64,90.15,2119161.0,1.3
1,Paris,2016-08,25.96,8.8,0.3,77.8,2124968.0,13.26
1,Paris,2024-03,44.49942307692307,6.6,0.72,1.0,2171948.0,1.25
1,Paris,2018-08,31.26,209.95038461538462,0.49,90.02,2.0,1.31
1,Paris,2023-07,34.52,5.48,0.83,100.0,2024417.0,11.4
1,Paris,2020-10,29.2,8.0,0.58,9.2,2075595.0,11.232830188679237
1,Paris,2020-05,34.43,1.33,1.03,100.0,2182097.0,11.9
1,Paris,2019-06,22.73,7.39,1.14,81.33,2084955.0,13.12
1,Paris,2016-06,21.58,17.41,21.771523809523806,81.75,2.0,10.98
1,Paris,2017-07,29.3,9.7,0.2,89.92,2.0,14.66
1,Paris,2018-12,32.1,14.5,0.94,100.0,2132236.0,12.96
1,Paris,2020-01,29.53,7.51,6.48,89.1,2118531.0,13.05
1,Paris,2019-07,46.1,14.13,0.32,100.0,2211345.0,11.49
1,Paris,2024-02,32.7,19.08,0.75,100.0,2125031.0,11.35
1,Paris,2024-07,29.52,5.5,1.31,95.81,2153469.0,12.93
1,Paris,2016-05,22.1,10.44,0.41,76.92,2117968.0,11.91
1,Paris,2021-07,11.58,1.54,0.67,64.98,2068278.0,11.6
1,Paris,2020-08,26.89,6.4,0.72,80.64,2196755.0,12.05
1,Paris,2018-05,2.48,6.99,0.48,73.2,2.0,12.54
1,Paris,2020-07,1.79,5.1,9.9,66.43,2179205.0,12.83
1,Paris,2017-10,18.09,7.73,0.72,61.55,2.0,12.27
1,Paris,2019-01,20.04,9.05,0.58,69.89,2.0,10.33
1,Paris,2024-05,33.81,6.31,0.92,100.0,2168671.0,14.08
1,Paris,2022-07,22.23,7.7,0.63,61.91,1447095.7745098039,13.57
1,Paris,2022-08,41.8,9.0,999.0,100.0,2301944.0,1.33
1,Paris,2023-08,3.22,9.19,999.0,99.17,2152329.0,12.0
1,Paris,2022-04,26.44,13.8,0.45,93.88,2121487.0,11.41
1,Paris,2020-09,19.57,8.71,8.03,67.21,2106888.0,12.44
1,Paris,2022-03,15.26,999.0,0.79,60.4,1447095.7745098039,11.14
1,Paris,2020-12,26.83,5.99,0.7,8.16,2.0,11.37
1,Paris,2016-12,2.64,14.01,0.79,91.58,2166069.0,13.7
1,Paris,2018-03,43.79,1.19,0.4,100.0,999.0,1.3
1,Paris,2017-04,27.87,13.87,0.52,94.1,2128394.0,10.74
1,Paris,2024-12,24.66,3.99,0.64,72.66,2.0,12.15
1,Paris,2018-10,27.5,5.43,0.79,87.65,2202152.0,13.25
1,Paris,2016-10,3.63,1.37,88.0,100.0,2.0,13.18
1,Paris,2022-11,27.7,6.55,1.08,9.26,2096137.0,12.0
1,Paris,2021-05,20.17,1.06,0.79,83.56,2.0,11.62
1,Paris,2019-05,19.87,9.54,0.83,76.57,2087985.0,11.87
1,Paris,2017-11,17.44,11.89,0.47,73.89,50.0,11.88
1,Paris,2018-11,14.6,6.25,0.83,56.73,2.0,16.05
1,Paris,2022-09,25.85,6.18,0.3,77.89,2110182.0,11.232830188679237
1,Paris,2024-06,20.04,5.02,0.26,67.66,2.0,12.14
1,Paris,2023-11,37.81,209.95038461538462,0.19,100.0,2054460.0,11.85
1,Paris,2021-04,46.71,6.77,21.771523809523806,100.0,2041805.0,11.67
1,Paris,2023-10,30.55,8.32,0.77,100.0,2.0,11.87
1,Paris,2017-12,34.3,5.08,0.76,100.0,2067625.0,12.38
1,Paris,2018-07,3.26,6.57,0.43,9.82,2136826.0,12.91
1,Paris,2016-01,31.47,9.45,8.62,100.0,2136292.0,1.2
1,Paris,2018-09,28.93,5.02,0.74,89.2,2103807.0,12.35
1,Paris,2019-03,20.6,12.7,0.52,76.7,1447095.7745098039,11.55
1,Paris,2018-01,29.34,13.13,0.39,90.34,2174097.0,12.5
1,Paris,2024-10,11.77,16.12,0.7,58.07,2097394.0,10.55
1,Paris,2021-12,18.3,1.27,21.771523809523806,65.76,2.0,10.16
1,Paris,2020-02,30.21,7.23,0.92,75.80906542056074,2188643.0,12.8
1,Paris,2017-09,34.12,6.36,1.05,98.34,2177342.0,1.44
1,Paris,2023-06,21.13,10.19,0.48,71.04,2198314.0,11.62
1,Paris,2018-04,37.43,209.95038461538462,0.94,100.0,2.0,14.1
1,Paris,2021-11,45.55,17.02,0.64,1.0,2.0,1.36
1,Paris,2024-09,41.34,7.96,0.45,100.0,2150786.0,30.0
1,Paris,2016-07,28.88,2.16,0.4,80.11,2184923.0,12.37
1,Paris,2021-02,29.02,10.05,0.72,91.0,2.0,1.27
1,Paris,2021-03,40.06,13.84,1.24,1.0,2.0,12.38
1,Paris,2019-02,33.18,3.55,5.82,99.53,2151214.0,11.12
1,Paris,2017-01,26.68,16.26,0.05,95.6,2152352.0,11.9
1,Paris,2018-02,29.3,11.39,0.53,96.68,2162653.0,11.49
1,Paris,2022-10,21.2,5.67,1.12,77.09,2147601.0,13.68
1,Paris,2016-02,41.21,13.1,88.0,100.0,2124829.0,11.73
1,Paris,2017-08,25.3,1.12,0.7,81.05,2205141.0,12.95
1,Paris,2018-06,29.5,209.95038461538462,0.7,1.0,2134767.0,14.92
